id	title	author	category_id
1	Java核心技术 卷I	凯S.霍斯特曼	3
2	深入理解Java虚拟机	周志明	3
3	Spring实战	克雷格沃斯	3
4	三体	刘慈欣	5
5	活着	余华	1
6	百年孤独	加西亚马尔克斯	1
7	红楼梦	曹雪芹	1
8	小王子	圣埃克苏佩里	7
9	人类简史	尤瓦尔赫拉利	4
10	明朝那些事儿	当年明月	4
11	算法导论	托马斯H.科尔曼	3
12	设计模式	埃里希伽马	3
13	围城	钱钟书	2
14	平凡的世界	路遥	2
15	JavaScript高级程序设计	马特弗里斯比	3
16	Vue.js设计与实现	霍春阳	3
17	艺术的故事	贡布里希	8
18	十万个为什么	卢嘉锡	7
19	边城	沈从文	1
20	骆驼祥子	老舍	1
21	茶馆	老舍	1
22	白鹿原	陈忠实	1
23	飞鸟集	泰戈尔	1
24	月亮与六便士	毛姆	1
25	解忧杂货店	东野圭吾	1
26	麦田里的守望者	塞林格	1
27	倾城之恋	张爱玲	2
28	白夜行	东野圭吾	2
29	挪威的森林	村上春树	2
30	嫌疑人X的献身	东野圭吾	2
31	追风筝的人	卡勒德·胡赛尼	2
32	杀死一只知更鸟	哈珀·李	2
33	了不起的盖茨比	菲茨杰拉德	2
34	傲慢与偏见	简·奥斯汀	2
35	代码整洁之道	罗伯特·马丁	3
36	重构：改善既有代码的设计	马丁·福勒	3
37	Effective Java	约书亚·布洛克	3
38	Python编程：从入门到实践	埃里克·马瑟斯	3
39	流畅的Python	卢西亚诺·拉马略	3
40	深入浅出MySQL	翟东方	3
41	图解HTTP	上野宣	3
42	计算机程序的构造和解释	哈罗德·阿贝尔森	3
43	计算机网络：自顶向下方法	库罗斯	3
44	史记	司马迁	4
45	资治通鉴	司马光	4
46	中国通史	吕思勉	4
47	万历十五年	黄仁宇	4
48	全球通史	斯塔夫里阿诺斯	4
49	历史的温度	张玮	4
50	流浪地球	刘慈欣	5
51	球状闪电	刘慈欣	5
52	沙丘	弗兰克·赫伯特	5
53	基地	艾萨克·阿西莫夫	5
54	1984	乔治·奥威尔	5
55	神经漫游者	威廉·吉布森	5
56	高等数学（第七版）上册	同济大学数学系	6
57	线性代数（第六版）	同济大学数学系	6
58	概率论与数理统计	浙江大学	6
59	大学物理	张三慧	6
60	离散数学	左孝凌	6
61	新视野大学英语读写教程	郑树棠	6
62	安徒生童话	安徒生	7
63	格林童话	格林兄弟	7
64	伊索寓言	伊索	7
65	夏洛的网	E.B.怀特	7
66	哈利·波特与魔法石	J.K.罗琳	7
67	窗边的小豆豆	黑柳彻子	7
68	美的历程	李泽厚	8
69	中国书法史	沃兴华	8
70	西方音乐通史	于润洋	8
71	摄影笔记	宁思潇潇	8
